id,property_id,property_name,city,province,area,state,address,room_count,room_type, tad_review_rating
"1144","45180","Apple Valley Resorts","Kullu","Kullu","'Mohal'","HimachalPradesh","Mohal, National Highway","36","Cedar Super Deluxe","4"
"1145","865736","Varsha International Residency","Kottayam","Kottayam","'Near Kottayam Railway Station'","Kerala","MANJOOR.P.O,KURUPPANTHARA","22","Deluxe Suite","3"
"1146","745776","Sereniity Resort","Lonavala","Lonavala","'Tungarli'","Maharashtra","Near Lagoona Hotel , Tungarli","0","Deluxe Room","0"
"1147","735166","Hotel Himalaya Villa","Leh","Leh","'Sankar Road'","JammuandKashmir","Darokhan Samkar Road Chubi , Leh, Leh, India 194101","8","Standard Room","3.5"
"1148","1332138","STARiHOTELS Kurukshetra","Kurukshetra","Kurukshetra","'Railway Road'","Haryana","Red Road, Indira Colony, Sector 17, Kurukshetra, Haryana 136118","12","AC Deluxe Room","2.2"
"1149","707667","Passage To India","Kovalam","Kovalam","'Light House Beach'","Kerala","Light House Beach","0","Sea View Deluxe A/c Room","0"
"1150","1328542","Guest Accomodation CK 140","Kolkata","Kolkata","'Salt Lake Sector 2'","WestBengal","Block CK 140, Sector II, Salt Lake City","5","Standard Room AC","4.3"
"1151","743544","Krishna Guest Inn","Lucknow","Lucknow","'Gomti Nagar'","UttarPradesh","1/10, Vijay Khand, Gomti Nagar, Lucknow","5","Deluxe Room","3"
"1152","726876","Hotel Uday Raj Palace","Lucknow","Lucknow","'Hussainganj'","UttarPradesh","B-79 Sector-C, Chhannilal Chauraha, Maha Nagar, Lucknow","21","Super Deluxe Room","4.5"
"1153","80841","Hotel Chandralok","Lonavala","Lonavala","'Lonavala Bus Stand'","Maharashtra","Near Post-Office & Bus Stand, Off Mumbai-Pune Highway","0","Non A/C Executive Room","0"
"1154","956064","OYO Rooms Lighthouse Beach Kovalam","Kovalam","Kovalam","'Light House Beach'","Kerala","Light House Road","15","Standard Room","4.9"
"1155","722821","Our Place Himalayas","Kullu","Kullu","'Raison'","HimachalPradesh","A. Kay. Orchards Raison, District Kullu","3","Two Bed Room Cottage","5"
"1156","1358886","OYO Premium Near City Mall Mahaveer Nagar","Kota","Kota",,"Rajasthan","MPB-29, Near City Mall","0",,"0"
"1157","957560","OYO Rooms New Alipore Children Park","Kolkata","Kolkata","'Alipore'","WestBengal","New Alipore,Krishna Chandra Dey Sarani,Near Sangita Medico,New Alipore","15","Standard Room","2.9"
"1158","720038","Aster Guest House","Kolkata","Kolkata","'Maidan Metro Area'","WestBengal","16 B, B K Market, 2nd Floor, Shakespeare Sarani","5","Suite","2.1"
"1159","720421","Lake Residency","Kumarakom","Kumarakom","'Vembanad Lake'","Kerala","Near Nava Nazareth Church Kumarakom South Po, Kottayam Dist.","0","Deluxe Non AC 2 Bed Room","0"
"1160","333520","Vasundhara Sarovar Premiere","Kumarakom","Kumarakom","'South Kumarakom'","Kerala","VP II / 326 B, Vayalar, Cherthala, Alleppey","0","Superior King Bed Lake View With Balcony","0"
"1161","1331294","OYO Rooms Kovalam Beach Road","Kovalam","Kovalam","'Light House Beach'","Kerala","Beach Road.","15","Standard Room AC","3.1"
"1162","1345400","OYO Elite Hambran Road","Ludhiana","Ludhiana","'Humbran Road'","Punjab","Near GRD Academy, Hambran Road","15","Premium Room","3.4"
"1163","740336","Jeyam Residency","Kumbakonam","Kumbakonam","'Near Bus Terminus'","TamilNadu","0","0","Standard Room AC","0"
"1164","707629","Hotel Sea Face","Kovalam","Kovalam","'Light House Beach'","Kerala","N.U.P. Beach Road","20","Standard A/c Room","3.5"
"1165","1325910","OYO Rooms Gariahat","Kolkata","Kolkata","'Kalighat-Southern Avenue'","WestBengal","49/2, Gariahat Road","0","Standard Room AC","0"
"1166","1358474","Hotel Kaveri International","Kollam","Kollam","'Paravur Lake'","Kerala","Puthenkulam, P.O. South Paravoor.","15","Standard Room","2.5"
"1167","375089","Golden Sands Beach Resort","Kovalam","Kovalam","'Light House Beach'","Kerala","Light House Beach, Vizhinjam post, Thiruvananthapuram","27","Normal A/C","3.5"
"1168","718868","Highland Hotel & Resorts","Kottarakkara","Kottarakkara","'Near Sree Mahaganapathi Kshetram'","Kerala","NH 208. Kollam Dist","19","Standard Room AC","4.5"
"1169","40847","Kumarakom Lake Resort","Kumarakom","Kumarakom","'Vembanad Lake'","Kerala","Kumarakom North Post - Kottayam","0","Heritage Villa with Private Pool","0"
"1170","1327914","OYO Premium Hawwa Beach Kovalam","Kovalam","Kovalam","'Samudra Beach'","Kerala","VPI/439, ITDC Road","15","Premium Room","2.8"
"1171","726751","Hotel Parth","Ludhiana","Ludhiana","'Bus Stand'","Punjab","596, Model Town , Link Road , Near Bus Stand","14","Deluxe Room","2.5"
"1172","387524","Hotel Raj Palace( Only for Indian Residents)","Lucknow","Lucknow","'Railway Station Charbagh'","UttarPradesh","92,Pandariba (Opp. C.B. Gupta Kothi Ex C.M.),Charbagh","20","Semi Deluxe Room","3.5"
"1173","715684","Mishra Residency AE 778","Kolkata","Kolkata","'Salt Lake Sector 1'","WestBengal","AE 778, Sector-1, Near Tank - 4, Salt Lake","2","Deluxe","3"
"1174","171287","Kovilakom Residency","Kozhikode","Kozhikode","'Near MIMS Hospital'","Kerala","Mini By-pass Road, Govindapuram","28","Suite Room","2.5"
"1175","718884","Queen of Ashtamudi Houseboat","Kollam","Kollam","'Kollam Beach'","Kerala","Ashtamudi Villas, Near Kadavoor Church, Nambarath Junction","2","Day Cruise Houseboat","4.4"
"1176","724952","NIPS Corporate Service Apartment","Kolkata","Kolkata","'Airport Zone'","WestBengal","UTSA Luxury Condoville, Street Number 70, AG Block(Newtown), Action Area I, Newtown","5","Deluxe Room","3.5"
"1177","725123","Hotel Neeta's Inn","Lonavala","Lonavala","'NH-4'","Maharashtra","Opp Valan College Valan Dam Old Mumbai Pune Highway","2","Deluxe","2.5"
"1178","354144","Hotel Onn","Ludhiana","Ludhiana","'Near Ferozpur Road'","Punjab","Yes Bank X-ing Onn Lane, Off Ferozepur Road","42","Executive Room","3.5"
"1179","310000","Hill and Sea View Beach Resort","Kovalam","Kovalam","'Light House Beach'","Kerala","Mottavilla Avaduthura, Vizhinjam P.O.","0","Palm View Super Deluxe Room","0"
"1180","423407","Hotel Neat Space","Lonavala","Lonavala","'Lonavala Market'","Maharashtra","Plot No.5,176-A/4,Ward 'B',Tungarli,Near Darga,Mumbai-Pune Road,Lonavala","13","Super Deluxe A/C","2"
"1181","1358216","Tip N Top by GMVN","Lansdowne","Lansdowne","'Deriya Khal'","Uttaranchal","TIP-N-TOP, GMVN LTD.","0","Deluxe Hut","0"
"1182","331510","The Machan","Lonavala","Lonavala","'Jambulne'","Maharashtra","Village: Jambulne, About 17 Kms from Lonavala","13","Heritage Machan","4.5"
"1183","1358882","OYO Rooms Near Kollam Beach","Kollam","Kollam",,"Kerala","Kochupilamood, Near Town Hall","0",,"0"
"1184","957222","OYO Rooms Near Konda Reddy Fort","Kurnool","Kurnool","'SBI Circle'","AndhraPradesh","Hotel DVR MANSION , 40-839, SBI Circle, Kurnool","15","Standard Room AC","4"
"1185","708828","Sivamurugan Hotel","Kumbakonam","Kumbakonam","'Near Bus Terminus'","TamilNadu","60, Feet Main Road, Near New Bus stand","30","Standard Room AC","4"
"1186","354244","Hotel Balaji Inn","Kullu","Kullu","'Bhuntar'","HimachalPradesh","Near Airport, Sainik Chowk Bhuntar Distt. Kullu","11","Economy Room 1","4.5"
"1187","1350968","The Blue Orchid Resort","Lucknow","Lucknow","'Mohanlal Ganj'","UttarPradesh","Mohanlalganj, NH 24B Kanpur Byepass","11","Executive Room","3.1"
"1188","708770","Hotel Sapphire","Lonavala","Lonavala","'Tungarli'","Maharashtra","Plot no 12, Gold valley road , new tungarli","25","Superior Bungalow","3.5"
"1189","957238","OYO Rooms New DMC","Ludhiana","Ludhiana","'Link Road'","Punjab","Leela Classic, 14 E Tagore Nagar, Opp. New DMC,Ludhiana","15","Standard Room AC","2"
"1190","41738","Hotel Chevron International","Ludhiana","Ludhiana","'Link Road'","Punjab","Link Road","47","Suite Room","3"
"1191","737926","Elite Guest House","Lucknow","Lucknow","'Gomti Nagar'","UttarPradesh","3/241, Vishal Khand ,Gomtinagar (Near C.M.S. & Lotus Health Care)","12","Superior Room","4.5"
"1192","1353718","OYO Rooms Kumbakonam Bus Stand 3","Kumbakonam","Kumbakonam",,"TamilNadu","13A-F 60 Feet Road","0",,"0"
"1193","707413","Calicut Tower","Kozhikode","Kozhikode","'Mavoor Road'","Kerala","Markaz Complex, Near New Bus Stand, Indira Gandhi Road","95","Suite Room","3.5"
"1194","1323988","Vista Rooms at Harish Mukherjee Road","Kolkata","Kolkata","'Elgin Zone'","WestBengal","75, Harish Mukherjee Road, Bhawanipur, Near Harish Park,","22","Standard Room AC","2.3"
"1195","720324","Shanti Raj Hill View Resort","Lansdowne","Lansdowne","'Dhora Village'","Uttaranchal","Dhura Rd, Pauri Garhwaal, Lansdowne, 2.5 kms from Gandhi Chowk","9","Standard Room","3.5"
"1196","1354442","The Fern Residency Kolkata","Kolkata","Kolkata","'Airport Zone'","WestBengal","204,Main Arterial Road, Noapara Rajarhat, New Town","48","Winter Green","3"
"1197","718938","Hotel Snow Cliff","Lansdowne","Lansdowne","'Goomkhal'","Uttaranchal","Goomkhal , Lansdowne","8","Deluxe Room","4"
"1198","736482","The Broadstreet Broadway","Kolkata","Kolkata","'South Kolkata'","WestBengal","29, Broad Street, Ballygunge Phari","0","Deluxe","0"
"1199","708569","Dorje Guest House","Leh","Leh","'Upper Tukcha Road'","JammuandKashmir","Dorje Guest House Upper Tukcha, Leh, Ladakh, J & K State 194101 India.","16","Super Deluxe Room","4"
"1200","1342758","OYO Rooms Vivek Khand","Lucknow","Lucknow","'Gomti Nagar'","UttarPradesh","2/471, Vivek Khand Gomti Nagar","15","Standard Room AC","2.5"
"1201","722921","Hotel Kumar Palace - Punaloor","Kollam","Kollam","'Kollam Beach'","Kerala","Kumar Palace T.B Junction Q.S Road Punaloor, Kollam Kerala, INDIA","19","Executive Room","3"
"1202","52784","The Aodhi Hotel Kumbhalgarh","Kumbhalgarh","Kumbhalgarh","'kumbhalgarh'","Rajasthan","The Aodhi, Kumbhalgarh Kumbhalgarh, P.O: Kelwara","26","Deluxe  Room","4"
"1203","707644","Ideal Ayurvedic Resort","Kovalam","Kovalam","'Chowara Beach'","Kerala","Chowara Beach","25","Pool View AC Room","4.5"
"1204","1326292","The Kumbha Bagh","Kumbhalgarh","Kumbhalgarh","'kumbhalgarh'","Rajasthan","0","0","Semi Suite","0"
"1205","1352692","The Premier Hotel","Kota","Kota","'Near City Mall'","Rajasthan","GLS Tower, 94 Shopping Center, Kota - 324005","0","Suite Room","0"
"1206","334541","Lotus Hotel","Leh","Leh","'Upper Karzo Road'","JammuandKashmir","Upper Karzoo, Leh - Ladakh 194101 INDIA","19","Deluxe Room","4.5"
