id,property_id,rating_count,city
"3826","724299","41","Kodaikanal"
"3827","724317","3","Kodaikanal"
"3828","724331","17","Kodaikanal"
"3829","724340","103","Kolhapur"
"3830","724359","26","Changanassery"
"3831","724418","36","Dharamshala"
"3832","724437","8","Kovalam"
"3833","724457","30","Ludhiana"
"3834","724465","37","Jabalpur"
"3835","724485","24","Gangtok"
"3836","724498","21","Jaisalmer"
"3837","724518","25","Goa"
"3838","724557","56","Gangtok"
"3839","724579","60","Chennai"
"3840","724599","4","Kolkata"
"3841","724681","2","Dehradun"
"3842","724745","201","Coorg"
"3843","724750","3","Chennai"
"3844","724753","86","Chittorgarh"
"3845","724757","16","Ludhiana"
"3846","724767","18","Gaya"
"3847","724778","83","Jaipur"
"3848","724820","13","Gangtok"
"3849","724822","16","Kausani"
"3850","724823","2","Chikmaglur"
"3851","724851","72","Dehradun"
"3852","724863","9","Gangtok"
"3853","724897","10","Coimbatore"
"3854","724901","37","Darjeeling"
"3855","724951","23","Kolkata"
"3856","724952","34","Kolkata"
"3857","724970","23","Cuttack"
"3858","725042","38","Hyderabad"
"3859","725046","32","Hyderabad"
"3860","725048","4","Coimbatore"
"3861","725049","33","Jaipur"
"3862","725053","28","Jaipur"
"3863","725061","23","Jaipur"
"3864","725062","1","Jaipur"
"3865","725063","3","Dwarka"
"3866","725064","16","Jaipur"
"3867","725068","1","Jaipur"
"3868","725078","22","Jaipur"
"3869","725104","59","Gandhidham"
"3870","725109","10","Lonavala"
"3871","725110","16","Jaipur"
"3872","725115","4","Kolkata"
"3873","725116","3","Ludhiana"
"3874","725118","21","Jaipur"
"3875","725123","20","Lonavala"
"3876","725126","1","Hyderabad"
"3877","725157","19","Jaipur"
"3878","725161","5","Chennai"
"3879","725179","15","Lucknow"
"3880","725181","2","Chandigarh"
"3881","725188","46","Hyderabad"
"3882","725199","22","Dalhousie"
"3883","725243","158","Lonavala"
"3884","725260","214","Kolkata"
"3885","725277","5","Kumbakonam"
"3886","725357","182","Indore"
"3887","725367","1","Hyderabad"
"3888","725399","156","Leh"
"3889","725417","65","Leh"
"3890","725423","135","Kausani"
"3891","725505","8","Coorg"
"3892","725511","24","Dalhousie"
"3893","725523","15","Kochi"
"3894","725527","15","Leh"
"3895","725542","22","Gangtok"
"3896","725577","46","Chittorgarh"
"3897","725581","5","Chittorgarh"
"3898","725584","43","Kodaikanal"
"3899","725587","11","Gangtok"
"3900","725589","34","Kottayam"
"3901","725598","864","Kolkata"
"3902","725605","36","Kottayam"
"3903","725638","21","Kumbhalgarh"
"3904","725640","18","Jaipur"
"3905","725647","49","Lachung"
"3906","725678","25","Jaipur"
"3907","725718","42","Chittorgarh"
"3908","725721","242","Kodaikanal"
"3909","725723","5","Kochi"
"3910","725737","30","Jabalpur"
"3911","725847","198","Gangtok"
"3912","725918","28","Jaipur"
"3913","725938","4","Chittorgarh"
"3914","725978","36","Jodhpur"
"3915","726001","15","Kumbhalgarh"
"3916","726022","3","Cuttack"
"3917","726040","4","Lucknow"
"3918","726181","26","Ganpatipule"
"3919","726205","8","Kalka"
"3920","726210","8","Kullu"
"3921","726218","4","Chandigarh"
"3922","726219","8","Kurnool"
"3923","726224","31","Jaipur"
"3924","726260","50","Lansdowne"
"3925","726283","197","Guwahati"
